"id","modelName","fieldName","attributeLabel","modified","custom","type","required","uniqueConstraint","safe","readOnly","linkType","searchable","relevance","isVirtual","defaultValue","keyType","data","description"
"66","Contacts","leadscore","Lead Score","0","0","rating","0","0","1","0",NULL,"0",,"0",NULL,NULL,NULL,
"67","Contacts","dealstatus","Deal Status","0","0","dropdown","0","0","1","0","105","0",,"0",NULL,NULL,NULL,
"68","Contacts","id","ID","0","0","varchar","0","1","1","0",NULL,"0",,"0",NULL,"PRI",NULL,
"69","Contacts","name","Full Name","0","0","varchar","0","0","1","0",NULL,"1","High","0",NULL,NULL,NULL,
"70","Contacts","nameId","NameID","0","0","varchar","0","0","1","1",NULL,"1","High","0",NULL,"FIX",NULL,
"71","Contacts","firstName","First Name","0","0","varchar","1","0","1","0",NULL,"1","High","0",NULL,NULL,NULL,
"72","Contacts","lastName","Last Name","0","0","varchar","1","0","1","0",NULL,"1","High","0",NULL,NULL,NULL,
"73","Contacts","title","Title","0","0","varchar","0","0","1","0",NULL,"0",,"0",NULL,NULL,NULL,
"74","Contacts","company","Account","0","0","link","0","0","1","0","Accounts","0",,"0",NULL,"MUL",NULL,
"75","Contacts","phone","Phone","0","0","phone","0","0","1","0",NULL,"1","Medium","0",NULL,NULL,NULL,
"76","Contacts","phone2","Cell Phone","1","0","phone","0","0","1","0",NULL,"1","Medium","0",,,NULL,
"77","Contacts","email","Email","0","0","email","0","0","1","0",NULL,"1","Medium","0",NULL,"MUL",NULL,
"78","Contacts","website","Website","0","0","url","0","0","1","0",NULL,"0",,"0",NULL,NULL,NULL,
"79","Contacts","twitter","Twitter","0","0","url","0","0","1","0","twitter","0",,"0",NULL,NULL,NULL,
"80","Contacts","linkedin","Linkedin","0","0","url","0","0","1","0","linkedin","0",,"0",NULL,NULL,NULL,
"81","Contacts","skype","Skype","0","0","url","0","0","1","0","skype","0",,"0",NULL,NULL,NULL,
"82","Contacts","googleplus","Googleplus","0","0","url","0","0","1","0","googleplus","0",,"0",NULL,NULL,NULL,
"83","Contacts","address","Address","0","0","varchar","0","0","1","0",NULL,"1","Medium","0",NULL,NULL,NULL,
"84","Contacts","address2","Address 2","0","0","varchar","0","0","1","0",NULL,"1","Medium","0",NULL,NULL,NULL,
"85","Contacts","city","City","0","0","varchar","0","0","1","0",NULL,"1","Medium","0",NULL,NULL,NULL,
"86","Contacts","state","State","1","0","dropdown","0","0","1","0","1002","1","Medium","0",,"MUL",NULL,
"87","Contacts","zipcode","Postal Code","0","0","varchar","0","0","1","0",NULL,"1","Medium","0",NULL,NULL,NULL,
"88","Contacts","country","Country","0","0","varchar","0","0","1","0",NULL,"1","Medium","0",NULL,NULL,NULL,
"89","Contacts","visibility","Visibility","1","0","visibility","1","0","1","0",NULL,"0","Low","0","0",,NULL,
"90","Contacts","assignedTo","Assigned Broker","1","0","assignment","0","0","1","0",,"1","Low","0","marc","MUL",NULL,
"91","Contacts","backgroundInfo","Background Info","0","0","text","0","0","1","0",NULL,"1","Medium","0",NULL,NULL,NULL,
"92","Contacts","lastUpdated","Last Updated","0","0","dateTime","0","0","1","1",NULL,"0",,"0",NULL,NULL,NULL,
"93","Contacts","lastActivity","Last Activity","0","0","dateTime","0","0","1","1",NULL,"0",,"0",NULL,NULL,NULL,
"94","Contacts","updatedBy","Updated By","0","0","assignment","0","0","1","1",NULL,"0",,"0",NULL,NULL,NULL,
"95","Contacts","leadSource","Lead Source","0","0","dropdown","0","0","1","0","103","0",,"0",NULL,NULL,NULL,
"96","Contacts","leadDate","Lead Date","0","0","date","0","0","1","0",NULL,"0",,"0",NULL,NULL,NULL,
"97","Contacts","priority","Priority","0","0","dropdown","0","0","1","0","124","0",,"0",NULL,NULL,NULL,
"98","Contacts","rating","Confidence","0","0","rating","0","0","1","0",NULL,"0",,"0",NULL,NULL,NULL,
"99","Contacts","createDate","Create Date","0","0","dateTime","0","0","1","1",NULL,"0",,"0",NULL,NULL,NULL,
"100","Contacts","facebook","Facebook","0","0","url","0","0","1","0","facebook","0",,"0",NULL,NULL,NULL,
"101","Contacts","otherUrl","Other","0","0","url","0","0","1","0",NULL,"0",,"0",NULL,NULL,NULL,
"102","Contacts","leadtype","Lead Type","0","0","dropdown","0","0","1","0","102","0",,"0",NULL,NULL,NULL,
"103","Contacts","closedate","Close Date","0","0","date","0","0","1","0",NULL,"0",,"0",NULL,NULL,NULL,
"104","Contacts","expectedCloseDate","Expected Close Date","0","0","date","0","0","1","0",NULL,"0",,"0",NULL,NULL,NULL,
"105","Contacts","interest","Interest","0","0","varchar","0","0","1","0",NULL,"0",,"0",NULL,NULL,NULL,
"106","Contacts","dealvalue","Deal Value","0","0","currency","0","0","1","0",NULL,"0",,"0",NULL,NULL,NULL,
"107","Contacts","leadstatus","Lead Status","0","0","dropdown","0","0","1","0","104","0",,"0",NULL,NULL,NULL,
"108","Contacts","doNotCall","Do Not Call","0","0","boolean","0","0","1","0",NULL,"0",,"0",NULL,NULL,NULL,
"109","Contacts","timezone","Timezone","0","0","varchar","0","0","1","0",NULL,"0",,"0",NULL,NULL,NULL,
"110","Contacts","dupeCheck","Duplicate Check","0","0","boolean","0","0","1","0",NULL,"0",,"0",NULL,NULL,NULL,
"111","Contacts","doNotEmail","Do Not Email","0","0","boolean","0","0","1","0",NULL,"0",,"0",NULL,NULL,NULL,
"112","Contacts","trackingKey","Web Tracking Key","0","0","varchar","0","0","1","1",NULL,"0",,"0",NULL,NULL,NULL,
"125","Contacts","reverseIp","Reverse IP","0","0","varchar","0","0","1","1",NULL,"1",,"0",NULL,NULL,NULL,
"539","Contacts","c_position","Position","1","1","varchar","0","0","1","0",NULL,"1","Medium","0",NULL,NULL,NULL,
"730","Contacts","c_newsletter","Newsletter","1","1","boolean","0","0","1","0",NULL,"0","Low","0","1",,NULL,
"545","Contacts","c_broker","Broker Alias","1","1","link","0","0","1","0","Brokers","1","Medium","0",,"MUL",NULL,
"571","Contacts","c_gender","Gender","1","1","dropdown","0","0","1","0","1057","0","Low","0",,,NULL,
"573","Contacts","c_alternateemail","Alternate Email","1","1","email","0","0","1","0",NULL,"1","High","0",,,NULL,
"729","Contacts","c_buyer_status","Buyer Status","1","1","dropdown","0","0","1","0","1063","1","Low","0","Unregistered",,NULL,
"577","Contacts","c_middlename","Middle Name","1","1","varchar","0","0","1","0",NULL,"1","Medium","0",,,NULL,
"580","Contacts","c_fax","Fax","1","1","phone","0","0","1","0",NULL,"0","Low","0",,,NULL,
